id	title_total_words	title_general_disruption_words	title_protester_messaging_words	title_positive_comments_words	title_negative_comments_words	subtitle_total_words	subtitle_general_disruption_words	subtitle_protester_messaging_words	subtitle_positive_comments_words	subtitle_negative_comments_words	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	all_content_total_words	all_content_total_pictures	all_content_total_words_and_pictures	all_content_general_disruption_words	all_content_general_disruption_pictures	all_content_general_disruption_words_and_pictures	all_content_protester_messaging_words	all_content_protester_messaging_pictures	all_content_protester_messaging_words_and_pictures	all_content_positive_comments_words	all_content_positive_comments_pictures	all_content_positive_comments_words_and_pictures	all_content_negative_comments_words	all_content_negative_comments_pictures	all_content_negative_comments_words_and_pictures	tagging_error
BBC_2024-09-04_Antiwhaling-activist-Paul-Watson	8	0	0	0	0	0	0	0	0	0	309	1	65	0	59	0	0	0	0	0	317	1	367	65	0	65	59	0	59	0	0	0	0	0	0	no
BBC_2024-09-20_Judge-throws-out-Sunak	7	0	0	0	0	0	0	0	0	0	350	2	176	1	3	0	0	0	0	0	357	2	457	176	1	226	3	0	3	0	0	0	0	0	0	no
BBC_2024-09-27_Activists-jailed-for-throwing	7	7	0	0	0	0	0	0	0	0	325	2	139	1	36	0	0	0	78	0	332	2	432	146	1	196	36	0	36	0	0	0	78	0	78	no
BBC_2024-09-27_Activists-throw-soup-on	8	8	0	0	0	0	0	0	0	0	300	1	172	0	91	1	0	0	10	0	308	1	358	180	0	180	91	1	141	0	0	0	10	0	10	no
BBC_2024-12-17_Climate-groups-to-back	8	0	0	0	0	0	0	0	0	0	369	2	176	2	0	0	180	0	0	0	377	2	477	176	2	276	0	0	0	180	0	180	0	0	0	no
BBC_2025-01-29_Just-Stop-Oil-pair	9	9	0	0	0	0	0	0	0	0	156	1	137	1	6	0	3	0	4	0	165	1	215	146	1	196	6	0	6	3	0	3	4	0	4	no
BBC_2025-02-02_Protesters-block-airport-over	6	6	0	0	0	0	0	0	0	0	354	3	76	1	86	1	64	0	0	0	360	3	510	82	1	132	86	1	136	64	0	64	0	0	0	no
BBC_2025-04-26_Anger-flares-at-Just	10	10	0	0	0	0	0	0	0	0	381	3	183	2	62	0	0	0	61	0	391	3	541	193	2	293	62	0	62	0	0	0	61	0	61	no
BBC_2025-07-25_Forth-Road-Bridge-closed	7	7	0	0	0	0	0	0	0	0	386	3	180	1	132	1	0	0	56	0	393	3	543	187	1	237	132	1	182	0	0	0	56	0	56	no
BBC_2025-09-22_Arrests-after-gas-protesters	7	7	0	0	0	0	0	0	0	0	258	2	91	1	12	0	0	0	0	0	265	2	365	98	1	148	12	0	12	0	0	0	0	0	0	no
BBC_None_More-arrests-after-protest	7	7	0	0	0	0	0	0	0	0	126	1	97	1	48	1	0	0	0	0	133	1	183	104	1	154	48	1	98	0	0	0	0	0	0	no
Daily-Mail_2023-10-17_Greta-Thunberg-20	19	19	0	0	0	24	24	0	0	0	375	3	206	3	152	0	0	0	0	0	418	3	568	249	3	399	152	0	152	0	0	0	0	0	0	no
Daily-Mail_2023-11-15_Grinning-Greta-Thunberg	22	0	0	0	0	12	0	0	0	0	347	3	194	0	23	0	0	0	52	0	381	3	531	194	0	194	23	0	23	0	0	0	52	0	52	no
Daily-Mail_2023-12-11_Just-Stop-Oil	28	13	0	0	0	0	0	0	0	0	402	3	209	2	32	1	0	0	66	0	430	3	580	222	2	322	32	1	82	0	0	0	66	0	66	no
Daily-Mail_2024-02-13_Climate-activists-target	29	29	0	0	0	0	0	0	0	0	406	3	99	1	225	1	0	0	59	1	435	3	585	128	1	178	225	1	275	0	0	0	59	1	109	no
Daily-Mail_2024-02-14_BBCs-Chris-Packham	23	3	0	0	0	19	0	0	0	0	361	3	109	1	95	0	0	0	0	0	403	3	553	112	1	162	95	0	95	0	0	0	0	0	0	no
Daily-Mail_2024-03-14_Just-Stop-Oils	29	0	0	0	0	0	0	0	0	0	353	3	225	2	57	0	0	0	0	0	382	3	532	225	2	325	57	0	57	0	0	0	0	0	0	no
Daily-Mail_2024-03-15_Moment-Sopranos-star	18	18	0	0	0	0	0	0	0	0	370	3	244	1	101	0	63	0	20	0	388	3	538	262	1	312	101	0	101	63	0	63	20	0	20	no
Daily-Mail_2024-04-05_Extinction-Rebellion-cofounder	31	31	0	0	0	10	10	0	0	0	333	3	293	2	59	0	0	0	18	0	374	3	524	334	2	434	59	0	59	0	0	0	18	0	18	no
Daily-Mail_2024-04-06_Greta-Thunberg-is	33	33	0	0	0	12	12	0	0	0	365	3	266	3	83	0	0	0	0	0	410	3	560	311	3	461	83	0	83	0	0	0	0	0	0	no
Daily-Mail_2024-06-20_Is-nothing-sacred	28	0	0	0	18	0	0	0	0	0	380	3	84	1	114	0	0	0	104	0	408	3	558	84	1	134	114	0	114	0	0	0	122	0	122	no
Daily-Mail_2024-06-23_Climate-change-protestors	15	15	0	0	0	0	0	0	0	0	347	3	221	3	126	0	0	0	0	0	362	3	512	236	3	386	126	0	126	0	0	0	0	0	0	no
Daily-Mail_2024-07-06_Greta-Thunberg-is	21	21	0	0	0	0	0	0	0	0	330	3	194	2	81	0	0	0	0	0	351	3	501	215	2	315	81	0	81	0	0	0	0	0	0	no
Daily-Mail_2024-07-23_Celebrities-including-Coldplays	28	0	0	0	0	0	0	0	0	0	364	3	139	0	0	0	66	0	50	0	392	3	542	139	0	139	0	0	0	66	0	66	50	0	50	no
ITV_2024-06-22_Just-Stop-Oil	13	0	0	0	0	0	0	0	0	0	310	1	282	1	0	0	0	0	0	0	323	1	373	282	1	332	0	0	0	0	0	0	0	0	0	no
ITV_2024-07-10_Just-Stop-Oil	11	0	0	0	0	0	0	0	0	0	324	2	140	1	125	0	0	0	39	0	335	2	435	140	1	190	125	0	125	0	0	0	39	0	39	no
ITV_2024-09-30_Three-Just-Stop	16	16	0	0	0	0	0	0	0	0	363	2	358	1	20	0	0	0	29	0	379	2	479	374	1	424	20	0	20	0	0	0	29	0	29	no
Metro_None_Four-arrested-after-protester	12	12	0	0	0	0	0	0	0	0	305	2	101	2	181	0	0	0	0	0	317	2	417	113	2	213	181	0	181	0	0	0	0	0	0	no
Metro_None_Judge-puts-Just-Stop	14	0	0	0	0	0	0	0	0	0	305	2	213	2	21	0	0	0	47	0	319	2	419	213	2	313	21	0	21	0	0	0	47	0	47	no
Metro_None_Just-Stop-Oil-activists	11	11	0	0	0	0	0	0	0	0	346	2	121	2	204	0	14	0	15	0	357	2	457	132	2	232	204	0	204	14	0	14	15	0	15	no
